,l2,mean_test_accuracy,mean_test_auc,mean_test_fn,mean_test_fp,mean_test_loss,mean_test_tn,mean_test_tp,mean_train_accuracy,mean_train_auc,mean_train_fn,mean_train_fp,mean_train_loss,mean_train_tn,mean_train_tp,n_hidden_layers,rate,units_0,model
0,0.01041895542952984,0.7194719314575195,0.766033411026001,47.0,38.0,0.6357576847076416,113.0,105.0,0.800565779209137,0.8845441341400146,179.0,103.0,0.5050176978111267,604.0,528.0,1.0,0.0,16.0,Neural Net
1,0.011630301403057158,0.6864686608314514,0.7788209915161133,54.0,41.0,0.6170088052749634,110.0,98.0,0.7786421775817871,0.8687514066696167,176.0,137.0,0.5214012265205383,570.0,531.0,1.0,0.0,16.0,Neural Net
2,0.011665164639569832,0.6996699571609497,0.7676454782485962,57.0,34.0,0.6295537948608398,117.0,95.0,0.7729844450950623,0.8626365065574646,211.0,110.0,0.5298543572425842,597.0,496.0,1.0,0.0,16.0,Neural Net
3,0.014288869391293023,0.6600660085678101,0.7592366933822632,73.0,30.0,0.6426464319229126,121.0,79.0,0.7524752616882324,0.8529596328735352,277.0,73.0,0.5547193884849548,634.0,430.0,1.0,0.0,16.0,Neural Net
4,0.010428168925371658,0.6963696479797363,0.7743116021156311,54.0,38.0,0.6149024367332458,113.0,98.0,0.7567185163497925,0.8456553816795349,191.0,153.0,0.5466122627258301,554.0,516.0,1.0,0.0,16.0,Neural Net
5,0.015206724153130433,0.6831682920455933,0.7678198218345642,45.0,51.0,0.6284119486808777,100.0,107.0,0.7602546215057373,0.8340089321136475,140.0,199.0,0.5581095218658447,508.0,567.0,1.0,0.0,16.0,Neural Net
6,0.010363287343758366,0.6831682920455933,0.7634846568107605,54.0,42.0,0.628635585308075,109.0,98.0,0.7673267126083374,0.847213864326477,206.0,123.0,0.5486174821853638,584.0,501.0,1.0,0.0,16.0,Neural Net
7,0.010719478675070318,0.6831682920455933,0.7515466809272766,43.0,53.0,0.6393713355064392,98.0,109.0,0.7425742745399475,0.8200726509094238,146.0,218.0,0.591100811958313,489.0,561.0,1.0,0.0,16.0,Neural Net
8,0.01030782708176886,0.6864686608314514,0.7659898996353149,61.0,34.0,0.6246241927146912,117.0,91.0,0.7425742745399475,0.8380570411682129,246.0,118.0,0.5555168390274048,589.0,461.0,1.0,0.0,16.0,Neural Net
9,0.013144143830635408,0.6798679828643799,0.7711963653564453,51.0,46.0,0.617612361907959,105.0,101.0,0.7390381693840027,0.8302947282791138,199.0,170.0,0.5668478012084961,537.0,508.0,1.0,0.0,16.0,Neural Net
10,0.015279429431462547,0.6864686608314514,0.7687565088272095,49.0,46.0,0.6176338791847229,105.0,103.0,0.7489391565322876,0.8321573138237,187.0,168.0,0.5557615160942078,539.0,520.0,1.0,0.0,16.0,Neural Net
11,0.013513358730532166,0.6732673048973083,0.7610448002815247,56.0,43.0,0.6294882297515869,108.0,96.0,0.7524752616882324,0.828504204750061,202.0,148.0,0.5640275478363037,559.0,505.0,1.0,0.0,16.0,Neural Net
12,0.013722629446263521,0.6930692791938782,0.7570364475250244,42.0,51.0,0.6462883949279785,100.0,110.0,0.7298443913459778,0.8139737844467163,153.0,229.0,0.615466833114624,478.0,554.0,1.0,0.0,16.0,Neural Net
13,0.016165687920324197,0.6765676736831665,0.7661206126213074,56.0,42.0,0.6228495836257935,109.0,96.0,0.7439886927604675,0.836188554763794,209.0,153.0,0.5540316104888916,554.0,498.0,1.0,0.0,16.0,Neural Net
14,0.019722626487808877,0.6864686608314514,0.7735491991043091,55.0,40.0,0.6120229959487915,111.0,97.0,0.7446959018707275,0.8346750736236572,212.0,149.0,0.5557699203491211,558.0,495.0,1.0,0.0,16.0,Neural Net
15,0.0172851328489246,0.6864686608314514,0.7517863512039185,47.0,48.0,0.6352709531784058,103.0,105.0,0.7432814836502075,0.8170597553253174,171.0,192.0,0.5750359296798706,515.0,536.0,1.0,0.0,16.0,Neural Net
16,0.018877994079492214,0.6798679828643799,0.7622864842414856,60.0,37.0,0.6232782602310181,114.0,92.0,0.7319660782814026,0.822798490524292,229.0,150.0,0.5733615756034851,557.0,478.0,1.0,0.0,16.0,Neural Net
17,0.017632271636810186,0.6864686608314514,0.7403058409690857,39.0,56.0,0.6556570529937744,95.0,113.0,0.7270155549049377,0.8057253360748291,143.0,243.0,0.6183335185050964,464.0,564.0,1.0,0.0,16.0,Neural Net
18,0.018994640898962308,0.6996699571609497,0.7544004917144775,49.0,42.0,0.6305198073387146,109.0,103.0,0.7404525876045227,0.8218392133712769,188.0,179.0,0.5693680644035339,528.0,519.0,1.0,0.0,16.0,Neural Net
19,0.01854262195013577,0.6765676736831665,0.7594763040542603,45.0,53.0,0.6428539752960205,98.0,107.0,0.7241867184638977,0.8071797490119934,156.0,234.0,0.6167078018188477,473.0,551.0,1.0,0.0,16.0,Neural Net
20,0.018179065668957953,0.6864686608314514,0.7635500431060791,56.0,39.0,0.6253505945205688,112.0,96.0,0.7319660782814026,0.8239527940750122,219.0,160.0,0.5694336891174316,547.0,488.0,1.0,0.0,16.0,Neural Net
21,0.018275062129096815,0.6732673048973083,0.7659463882446289,54.0,45.0,0.6221522688865662,106.0,98.0,0.7347949147224426,0.816293478012085,197.0,178.0,0.5802196264266968,529.0,510.0,1.0,0.0,16.0,Neural Net
22,0.016875850628636717,0.6798679828643799,0.7594109773635864,49.0,48.0,0.6274586915969849,103.0,103.0,0.7270155549049377,0.8047150373458862,188.0,198.0,0.5977423787117004,509.0,519.0,1.0,0.0,16.0,Neural Net
