,l2,mean_test_accuracy,mean_test_auc,mean_test_fn,mean_test_fp,mean_test_loss,mean_test_tn,mean_test_tp,mean_train_accuracy,mean_train_auc,mean_train_fn,mean_train_fp,mean_train_loss,mean_train_tn,mean_train_tp,n_hidden_layers,rate,units_0,units_1,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_lambda,param_reg_alpha,param_n_estimators,param_learning_rate,params,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,std_train_fn,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,std_test_auc,rank_test_auc,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,std_train_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,std_train_accuracy
26,,0.7039603960396039,0.7572517400254877,52.0,67.6,,134.4,150.0,0.7330445544554455,0.7990578435937652,182.4,249.0,,559.0,625.6,,,,,XGBoost,4.771321582794189,0.16313945487867412,0.07416620254516601,0.007421063758690064,10000,10,31,0.8600000000000003,"{'reg_lambda': 10000, 'reg_alpha': 10, 'n_estimators': 31, 'learning_rate': 0.8600000000000003}",150.0,149.0,156.0,152.0,143.0,4.242640687119285,11.0,646.0,631.0,624.0,623.0,604.0,13.57350360076572,130.0,136.0,136.0,137.0,133.0,2.576819745345025,49.0,548.0,559.0,556.0,564.0,568.0,6.870225614927067,72.0,66.0,66.0,65.0,69.0,2.576819745345025,1.0,260.0,249.0,252.0,244.0,240.0,6.870225614927067,52.0,53.0,46.0,50.0,59.0,4.242640687119285,37.0,162.0,177.0,184.0,185.0,204.0,13.573503600765722,0.7364106460150965,0.7685030879325556,0.7881457700225468,0.7520218606019018,0.7411773355553377,0.018979585014379307,16.0,0.8095529850014704,0.793762560043133,0.7953080580335261,0.8021777889422606,0.7944878259484365,0.006047611645159051,0.693069306930693,0.7054455445544554,0.7227722772277227,0.7153465346534653,0.6831683168316832,0.01439904908143462,16.0,0.7388613861386139,0.7363861386138614,0.7301980198019802,0.7345297029702971,0.7252475247524752,0.0048187926569138164
27,,0.5,0.5,202.0,0.0,,202.0,0.0,0.5,0.5,808.0,0.0,,808.0,0.0,,,,,XGBoost,1.5672892093658448,0.04191082983332589,0.08175687789916992,0.004336818776830254,1000,1000,43,0.7300000000000002,"{'reg_lambda': 1000, 'reg_alpha': 1000, 'n_estimators': 43, 'learning_rate': 0.7300000000000002}",0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0
28,,0.6995049504950496,0.7454195667091461,59.2,62.2,,139.8,142.8,0.7235148514851485,0.7778316770414666,213.4,233.4,,574.6,594.6,,,,,XGBoost,4.231858730316162,0.17727159547975005,0.0823369026184082,0.008736887296216427,10000,100,31,0.8300000000000003,"{'reg_lambda': 10000, 'reg_alpha': 100, 'n_estimators': 31, 'learning_rate': 0.8300000000000003}",145.0,139.0,140.0,146.0,144.0,2.7856776554368237,24.0,629.0,575.0,554.0,607.0,608.0,26.64282267328295,133.0,145.0,150.0,140.0,131.0,7.138627319029898,23.0,561.0,577.0,596.0,577.0,562.0,12.753038853543888,69.0,57.0,52.0,62.0,71.0,7.138627319029899,27.0,247.0,231.0,212.0,231.0,246.0,12.753038853543888,57.0,63.0,62.0,56.0,58.0,2.7856776554368237,26.0,179.0,233.0,254.0,201.0,200.0,26.642822673282947,0.7333472208606999,0.7476840505832761,0.7673512400745024,0.7446818939319674,0.7340334280952848,0.01234549336207851,24.0,0.7864386763552593,0.7679041883148712,0.7663249926477796,0.7787119522595825,0.7897785756298401,0.00947145739240521,0.6881188118811881,0.7029702970297029,0.7178217821782178,0.7079207920792079,0.6806930693069307,0.013430356402228234,25.0,0.7363861386138614,0.7128712871287128,0.7116336633663366,0.7326732673267327,0.724009900990099,0.010042308304505353
29,,0.5,0.5,202.0,0.0,,202.0,0.0,0.5,0.5,808.0,0.0,,808.0,0.0,,,,,XGBoost,0.9446621894836426,0.03714224355358548,0.07427005767822266,0.004938442670637703,10000,1000,29,0.8800000000000003,"{'reg_lambda': 10000, 'reg_alpha': 1000, 'n_estimators': 29, 'learning_rate': 0.8800000000000003}",0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0
30,,0.7069306930693069,0.7648318792275267,51.8,66.6,,135.4,150.2,0.7318069306930693,0.8132722894814235,183.4,250.0,,558.0,624.6,,,,,XGBoost,6.707345056533813,0.126221356753268,0.07629756927490235,0.007464353301788259,10000,10,49,0.9600000000000004,"{'reg_lambda': 10000, 'reg_alpha': 10, 'n_estimators': 49, 'learning_rate': 0.9600000000000004}",149.0,153.0,156.0,151.0,142.0,4.707440918375927,8.0,645.0,636.0,625.0,609.0,608.0,14.59588983241515,131.0,137.0,137.0,140.0,132.0,3.3823069050575527,40.0,547.0,557.0,553.0,569.0,564.0,7.797435475847171,71.0,65.0,65.0,62.0,70.0,3.3823069050575527,10.0,261.0,251.0,255.0,239.0,244.0,7.797435475847171,53.0,49.0,46.0,51.0,60.0,4.707440918375928,41.0,163.0,172.0,183.0,199.0,200.0,14.59588983241515,0.7366924811293011,0.7788207038525635,0.793353592785021,0.7584060386236644,0.7568865797470836,0.019521374415119398,7.0,0.8172674553965298,0.8048131004313304,0.8054954783844721,0.8190932567885502,0.8196921564062348,0.006679766053314036,0.693069306930693,0.7178217821782178,0.7252475247524752,0.7202970297029703,0.6782178217821783,0.01816231319588527,10.0,0.7376237623762376,0.7382425742574258,0.7289603960396039,0.7289603960396039,0.7252475247524752,0.005186219514791346
31,,0.7079207920792079,0.7807249289285363,51.8,66.2,,135.8,150.2,0.7439356435643564,0.8404131641505733,180.0,233.8,,574.2,628.0,,,,,XGBoost,4.076283168792725,0.06144454214992424,0.0816225528717041,0.007267637765024591,1000,10,30,0.6900000000000002,"{'reg_lambda': 1000, 'reg_alpha': 10, 'n_estimators': 30, 'learning_rate': 0.6900000000000002}",149.0,151.0,154.0,152.0,145.0,3.059411708155671,8.0,641.0,631.0,628.0,619.0,621.0,7.848566748139434,130.0,137.0,138.0,141.0,133.0,3.8678159211627428,36.0,567.0,568.0,566.0,589.0,581.0,9.19565114605812,72.0,65.0,64.0,61.0,69.0,3.867815921162743,13.0,241.0,240.0,242.0,219.0,227.0,9.195651146058118,53.0,51.0,48.0,50.0,57.0,3.059411708155671,41.0,167.0,177.0,180.0,189.0,187.0,7.848566748139434,0.7541294971081265,0.8001298892265463,0.8071635133810411,0.7743481031271444,0.7678536417998236,0.01994593775877534,2.0,0.8468310398490343,0.8379348532006666,0.8352834587295364,0.8411185177923732,0.8408979511812568,0.0038568788826474354,0.6905940594059405,0.7128712871287128,0.7227722772277227,0.7252475247524752,0.6881188118811881,0.015732919388188826,8.0,0.7475247524752475,0.7419554455445545,0.7388613861386139,0.7475247524752475,0.7438118811881188,0.003330104962146954
32,,0.5,0.5,202.0,0.0,,202.0,0.0,0.5,0.5,808.0,0.0,,808.0,0.0,,,,,XGBoost,0.4203763961791992,0.01972854488186007,0.07886018753051757,0.010077287241092706,10000,1000,10,0.56,"{'reg_lambda': 10000, 'reg_alpha': 1000, 'n_estimators': 10, 'learning_rate': 0.56}",0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0
33,,0.5,0.5,202.0,0.0,,202.0,0.0,0.5,0.5,808.0,0.0,,808.0,0.0,,,,,XGBoost,1.115738821029663,0.03603425843249589,0.06895956993103028,0.007881319072144255,1000,1000,37,0.6700000000000002,"{'reg_lambda': 1000, 'reg_alpha': 1000, 'n_estimators': 37, 'learning_rate': 0.6700000000000002}",0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0
34,,0.5,0.5,202.0,0.0,,202.0,0.0,0.5,0.5,808.0,0.0,,808.0,0.0,,,,,XGBoost,1.6954903602600098,0.037908615051076545,0.0782862663269043,0.007061507859117323,1000,1000,49,0.6900000000000002,"{'reg_lambda': 1000, 'reg_alpha': 1000, 'n_estimators': 49, 'learning_rate': 0.6900000000000002}",0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,808.0,808.0,808.0,808.0,808.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,31.0,0.5,0.5,0.5,0.5,0.5,0.0
35,,0.7034653465346534,0.7584697578668758,52.2,67.6,,134.4,149.8,0.7327970297029702,0.8008536234192725,182.8,249.0,,559.0,625.2,,,,,XGBoost,6.043552017211914,0.3983566401792734,0.07920455932617188,0.00807495447958295,10000,10,43,0.6700000000000002,"{'reg_lambda': 10000, 'reg_alpha': 10, 'n_estimators': 43, 'learning_rate': 0.6700000000000002}",149.0,150.0,156.0,152.0,142.0,4.578209256903839,15.0,647.0,630.0,624.0,624.0,601.0,14.74313399518569,130.0,136.0,136.0,137.0,133.0,2.576819745345025,49.0,546.0,558.0,556.0,566.0,569.0,8.099382692526634,72.0,66.0,66.0,65.0,69.0,2.576819745345025,1.0,262.0,250.0,252.0,242.0,239.0,8.099382692526634,53.0,52.0,46.0,50.0,60.0,4.578209256903839,34.0,161.0,178.0,184.0,184.0,207.0,14.743133995185692,0.7364596608175669,0.7722159592196843,0.787606607195373,0.7547054210371532,0.7413611410646015,0.019127119036583477,14.0,0.810398490344084,0.7991266174884816,0.7954198730516616,0.8044340015684737,0.7948891346436624,0.005865269153253142,0.6905940594059405,0.7079207920792079,0.7227722772277227,0.7153465346534653,0.6806930693069307,0.015607804723202404,19.0,0.7382425742574258,0.7351485148514851,0.7301980198019802,0.7363861386138614,0.724009900990099,0.005138747399016525
