,l2,mean_test_accuracy,mean_test_auc,mean_test_fn,mean_test_fp,mean_test_loss,mean_test_tn,mean_test_tp,mean_train_accuracy,mean_train_auc,mean_train_fn,mean_train_fp,mean_train_loss,mean_train_tn,mean_train_tp,n_hidden_layers,rate,units_0,units_1,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_lambda,param_n_estimators,param_learning_rate,params,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,std_train_fn,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,std_test_auc,rank_test_auc,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,std_train_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,std_train_accuracy
10,0.0708439127083072,0.6666666865348816,0.7565353512763977,34.0,67.0,3.4636077880859375,85.0,117.0,0.709335207939148,0.7959523797035217,148.0,263.0,3.447636842727661,444.0,559.0,2.0,0.0,17.0,36.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.04973509379418973,0.6930692791938782,0.7715014219284058,52.0,41.0,0.6855313777923584,111.0,99.0,0.7065063714981079,0.8007638454437256,243.0,172.0,0.6693337559700012,535.0,464.0,2.0,0.0,41.0,62.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.06668726287214173,0.6897689700126648,0.7542480230331421,47.0,47.0,1.6321407556533813,105.0,104.0,0.7149929404258728,0.7979379892349243,229.0,174.0,1.6145039796829224,533.0,478.0,2.0,0.0,29.0,42.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.05750025534379675,0.6831682920455933,0.7824590802192688,37.0,59.0,2.4086973667144775,93.0,114.0,0.7178217768669128,0.8000026345252991,159.0,240.0,2.4022583961486816,467.0,548.0,2.0,0.0,43.0,44.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.06777511986938257,0.6963696479797363,0.776947557926178,41.0,51.0,3.502497434616089,101.0,110.0,0.7220650911331177,0.804639995098114,196.0,197.0,3.489301919937134,510.0,511.0,2.0,0.0,23.0,60.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.05299056045202123,0.6600660085678101,0.7642035484313965,34.0,69.0,0.6942951083183289,83.0,117.0,0.7008486390113831,0.7851511240005493,150.0,273.0,0.6834399104118347,434.0,557.0,2.0,0.0,38.0,18.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.08273436746412847,0.6798679828643799,0.7721113562583923,63.0,34.0,3.894674777984619,118.0,88.0,0.698019802570343,0.7892183065414429,292.0,135.0,3.893467664718628,572.0,415.0,2.0,0.0,49.0,62.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0669599182218815,0.7029703259468079,0.7769911289215088,48.0,42.0,1.3958081007003784,110.0,103.0,0.7022630572319031,0.7929724454879761,242.0,179.0,1.393317699432373,528.0,465.0,2.0,0.0,37.0,38.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.07035421281762325,0.6831682920455933,0.7646392583847046,41.0,55.0,1.3604018688201904,97.0,110.0,0.699434220790863,0.7807818055152893,194.0,231.0,1.35792875289917,476.0,513.0,2.0,0.0,35.0,18.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.06941773170953978,0.6996699571609497,0.7665780782699585,50.0,41.0,0.8493922352790833,111.0,101.0,0.7065063714981079,0.7913680076599121,244.0,171.0,0.841785192489624,536.0,463.0,2.0,0.0,41.0,26.0,Neural Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
