,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,params,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,mean_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,mean_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,mean_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,mean_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,mean_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,mean_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,mean_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,mean_train_fn,std_train_fn,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,mean_train_auc,std_train_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,model,param_C,l2,mean_test_loss,mean_train_loss,n_hidden_layers,rate,units_0,units_1,units_2,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_reg_lambda,param_reg_alpha
9,0.14364380836486818,0.01954382116556064,0.0,0.0,50,1e+100,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 50, 'learning_rate': 1e+100}",,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,20.0,,,,,,,,XGBoost,,,,,,,,,,,,,inf,inf
10,0.13898816108703613,0.007461358328020795,0.0,0.0,80,2.1752040340195154e+58,"{'reg_lambda': 10.0, 'reg_alpha': inf, 'n_estimators': 80, 'learning_rate': 2.1752040340195154e+58}",,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,XGBoost,,,,,,,,,,,,,10.0,inf
11,0.14896411895751954,0.025003731047745704,0.0,0.0,88,1.005773063001733e+75,"{'reg_lambda': 10.0, 'reg_alpha': inf, 'n_estimators': 88, 'learning_rate': 1.005773063001733e+75}",,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,18.0,,,,,,,,XGBoost,,,,,,,,,,,,,10.0,inf
12,1.216163444519043,0.023855217120300556,0.09864282608032227,0.008873925160350803,23,1.491935335325571e+29,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 23, 'learning_rate': 1.491935335325571e+29}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,XGBoost,,,,,,,,,,,,,inf,inf
13,3.617461585998535,0.028264627193255617,0.09867405891418457,0.010439249096340272,77,1.023292992280754,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 77, 'learning_rate': 1.023292992280754}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,XGBoost,,,,,,,,,,,,,inf,inf
14,2.8864709377288817,0.08530009292911829,0.11692543029785156,0.011548740439064745,61,2.187761623949534e+33,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 61, 'learning_rate': 2.187761623949534e+33}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,XGBoost,,,,,,,,,,,,,inf,inf
15,0.17064332962036133,0.020671639981602843,0.0,0.0,81,6.858829387920295e+70,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 81, 'learning_rate': 6.858829387920295e+70}",,,,,,,,24.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,24.0,,,,,,,,XGBoost,,,,,,,,,,,,,inf,inf
16,0.163727331161499,0.01050663510240468,0.0,0.0,54,1e+100,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 54, 'learning_rate': 1e+100}",,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,15.0,,,,,,,,XGBoost,,,,,,,,,,,,,inf,inf
17,0.1792898654937744,0.008102648806320223,0.0,0.0,42,6.819460214464158e+95,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 42, 'learning_rate': 6.819460214464158e+95}",,,,,,,,14.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,14.0,,,,,,,,XGBoost,,,,,,,,,,,,,inf,inf
18,2.686422061920166,0.16135144284510994,0.1061629295349121,0.008737615990812455,53,220039170.9637395,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 53, 'learning_rate': 220039170.9637395}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,XGBoost,,,,,,,,,,,,,inf,inf
19,0.15527076721191407,0.004550872972298021,0.0,0.0,88,4.6505037616661055e+91,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 88, 'learning_rate': 4.6505037616661055e+91}",,,,,,,,13.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,13.0,,,,,,,,XGBoost,,,,,,,,,,,,,inf,inf
20,1.8362985610961915,0.07525075690280353,0.088616943359375,0.006819692692168506,38,1.0174193661806055e+25,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 38, 'learning_rate': 1.0174193661806055e+25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,XGBoost,,,,,,,,,,,,,inf,inf
21,0.8247267246246338,0.041498154107977664,0.09716954231262206,0.004043504512409312,15,220039170.9637395,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 15, 'learning_rate': 220039170.9637395}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,XGBoost,,,,,,,,,,,,,inf,inf
22,0.14937596321105956,0.007246674905782684,0.0,0.0,50,6.898425842094784e+45,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 50, 'learning_rate': 6.898425842094784e+45}",,,,,,,,12.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,12.0,,,,,,,,XGBoost,,,,,,,,,,,,,inf,inf
23,0.1345543384552002,0.0032037854357651065,0.0,0.0,48,1.4748572927641342e+79,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 48, 'learning_rate': 1.4748572927641342e+79}",,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,17.0,,,,,,,,XGBoost,,,,,,,,,,,,,inf,inf
24,0.13672189712524413,0.001913194075956627,0.0,0.0,34,1.4748572927641342e+79,"{'reg_lambda': inf, 'reg_alpha': inf, 'n_estimators': 34, 'learning_rate': 1.4748572927641342e+79}",,,,,,,,25.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,25.0,,,,,,,,XGBoost,,,,,,,,,,,,,inf,inf
