,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,mean_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,mean_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,mean_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,mean_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,mean_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,mean_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,mean_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,mean_train_fn,std_train_fn,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,mean_train_auc,std_train_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,model,l2,mean_test_loss,mean_train_loss,n_hidden_layers,rate,units_0,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth
7,0.502243185043335,0.20769560395969255,0.009906005859375,0.0015916834011840625,0.0014677992676220691,{'C': 0.0014677992676220691},47.0,47.0,0.0,0.0,47.0,28.2,23.025203582161875,20.0,188.0,188.0,0.0,0.0,188.0,112.8,92.1008143286475,0.0,0.0,623.0,623.0,0.0,249.2,305.206421950784,16.0,0.0,0.0,2491.0,2491.0,0.0,996.4,1220.3357898545794,623.0,623.0,0.0,0.0,622.0,373.6,305.0433411828555,7.0,2491.0,2491.0,0.0,0.0,2492.0,1494.8,1220.499143793227,0.0,0.0,47.0,47.0,0.0,18.8,23.025203582161875,2.0,0.0,0.0,188.0,188.0,0.0,75.2,92.1008143286475,0.5,0.5,0.5,0.5,0.5,0.5,0.0,18.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.07014925373134329,0.07014925373134329,0.9298507462686567,0.9298507462686567,0.07025411061285501,0.41405082212257105,0.42114887624853115,17.0,0.07017543859649122,0.07017543859649122,0.9298245614035088,0.9298245614035088,0.07014925373134329,0.41402985074626864,0.42114461782077933,Logistic Regression,,,,,,,,,,
8,1.7102704524993897,0.45011983108070736,0.00804896354675293,0.0011164018477511231,0.002154434690031882,{'C': 0.002154434690031882},41.0,37.0,35.0,40.0,39.0,38.4,2.154065922853802,1.0,151.0,155.0,157.0,152.0,153.0,153.6,2.1540659228538015,159.0,151.0,144.0,157.0,175.0,157.2,10.322790320451151,23.0,628.0,640.0,646.0,628.0,613.0,631.0,11.384199576606166,464.0,472.0,479.0,466.0,447.0,465.6,10.669582934679312,3.0,1863.0,1851.0,1845.0,1863.0,1879.0,1860.2,11.702991070662234,6.0,10.0,12.0,7.0,8.0,8.6,2.1540659228538015,25.0,37.0,33.0,31.0,36.0,35.0,34.4,2.154065922853802,0.5645469758546499,0.5032102728731942,0.4866295550015369,0.5606365902803867,0.5580488472326742,0.5346144482484884,0.032896964454172624,17.0,0.5268594600134954,0.542237160159553,0.5461939578226296,0.527906847630192,0.528689679314231,0.5343774209880203,0.008150392686852331,0.29850746268656714,0.28059701492537314,0.2671641791044776,0.29402985074626864,0.31988041853512705,0.2920357851995627,0.017723570563671073,23.0,0.2907801418439716,0.2967525195968645,0.2997387084733109,0.2911534154535274,0.28582089552238804,0.29284913617801245,0.004883748182898585,Logistic Regression,,,,,,,,,,
9,2.143684148788452,0.6262494953052525,0.00819849967956543,0.00066736390071288,0.0031622776601683794,{'C': 0.0031622776601683794},41.0,37.0,33.0,36.0,38.0,37.0,2.6076809620810595,4.0,151.0,153.0,146.0,142.0,153.0,149.0,4.33589667773576,166.0,168.0,203.0,223.0,202.0,192.4,22.059918404200864,22.0,642.0,713.0,853.0,886.0,709.0,760.6,93.01311735448931,457.0,455.0,420.0,400.0,420.0,430.4,22.150395030337496,4.0,1849.0,1778.0,1638.0,1605.0,1783.0,1730.6,93.12486241600574,6.0,10.0,14.0,11.0,9.0,10.0,2.6076809620810595,22.0,37.0,35.0,42.0,46.0,35.0,39.0,4.33589667773576,0.6217000785492299,0.5369010621221953,0.5120385232744784,0.5954714661384516,0.6036806458233565,0.5739583551815424,0.04203048704557906,16.0,0.5572272948572308,0.5806872827284608,0.591969387667945,0.5731174782408158,0.5653292664184967,0.5736661419825898,0.012036157533660326,0.30895522388059704,0.30597014925373134,0.3522388059701492,0.38656716417910447,0.35874439461883406,0.3424951475804832,0.030855539339834665,22.0,0.2960059723777529,0.3232549458753266,0.3729003359462486,0.3837252706233669,0.32164179104477614,0.33950566317349423,0.033304668417750205,Logistic Regression,,,,,,,,,,
10,2.5307093143463133,0.14425650377418847,0.018043375015258788,0.013617316335975523,0.004641588833612777,{'C': 0.004641588833612777},37.0,35.0,29.0,35.0,36.0,34.4,2.8,5.0,134.0,143.0,138.0,133.0,131.0,135.8,4.261455150532503,258.0,211.0,244.0,244.0,271.0,245.6,20.0059991002699,21.0,964.0,928.0,1025.0,1016.0,987.0,984.0,35.35533905932738,365.0,412.0,379.0,379.0,351.0,377.2,20.262280227062305,5.0,1527.0,1563.0,1466.0,1475.0,1505.0,1507.2,35.34062817777862,10.0,12.0,18.0,12.0,11.0,12.6,2.8000000000000003,21.0,54.0,45.0,50.0,55.0,57.0,52.2,4.261455150532504,0.6227587855606024,0.5434240633858134,0.5177760322393361,0.596530173149824,0.6131217076007389,0.578722152387263,0.04098796094427688,15.0,0.5674961777291867,0.5858633634274879,0.5939552602133639,0.5761005577525903,0.5712759553976982,0.5789382629040654,0.009707235089818349,0.44029850746268656,0.36716417910447763,0.40746268656716417,0.4164179104477612,0.4588938714499253,0.41804743100640296,0.031200447357624263,16.0,0.40985442329227323,0.3997760358342665,0.4341172079134005,0.42889137737961924,0.4171641791044776,0.4179606447048075,0.012470289766782121,Logistic Regression,,,,,,,,,,
11,4.150146579742431,1.2761764022207935,0.00925431251525879,0.0014156645531552903,0.006812920690579608,{'C': 0.006812920690579608},36.0,35.0,29.0,35.0,34.0,33.8,2.4819347291981715,6.0,131.0,138.0,134.0,131.0,131.0,133.0,2.756809750418044,273.0,226.0,253.0,251.0,270.0,254.6,16.788091017146648,15.0,1001.0,995.0,1063.0,1017.0,1010.0,1017.2,24.103111832292527,350.0,397.0,370.0,372.0,352.0,368.2,16.975276139138355,11.0,1490.0,1496.0,1428.0,1474.0,1482.0,1474.0,24.166091947189145,11.0,12.0,18.0,12.0,13.0,13.2,2.481934729198171,20.0,57.0,50.0,54.0,57.0,57.0,55.0,2.756809750418044,0.622861241077832,0.5441412520064206,0.5193470168368566,0.596461869471671,0.6138400492577136,0.5793302857300987,0.040535465102149504,14.0,0.568743220273837,0.5866598477924785,0.5946214884221496,0.5768885007302886,0.5723346624090707,0.5798495439255649,0.00952031752661691,0.46119402985074626,0.3895522388059702,0.4208955223880597,0.42686567164179107,0.45440956651718983,0.43058340584075144,0.02567461601061994,15.0,0.4225457260171706,0.4229189996267264,0.44680851063829785,0.42851810377006344,0.42574626865671644,0.42930752174179493,0.00901249591247463,Logistic Regression,,,,,,,,,,
12,4.1375525951385494,1.1219861719003072,0.009315395355224609,0.0013674034682888295,0.01,{'C': 0.01},34.0,33.0,29.0,36.0,35.0,33.4,2.4166091947189146,7.0,135.0,136.0,139.0,137.0,134.0,136.2,1.7204650534085253,282.0,233.0,256.0,254.0,286.0,262.2,19.579581200832667,14.0,1051.0,1043.0,1074.0,1025.0,1048.0,1048.2,15.740393895960798,341.0,390.0,367.0,369.0,336.0,360.6,19.825236442474022,12.0,1440.0,1448.0,1417.0,1466.0,1444.0,1443.0,15.748015748023622,13.0,14.0,18.0,11.0,12.0,13.6,2.4166091947189146,18.0,53.0,52.0,49.0,51.0,54.0,51.8,1.7204650534085253,0.6392028960759536,0.5863016973464021,0.5358765069498992,0.614237901711007,0.6222035985496339,0.5995645201265791,0.03614167217316526,13.0,0.6010456793392382,0.6002502626476592,0.6220606950980978,0.6047067314673249,0.6173563915166832,0.6090839520138006,0.008929020904055401,0.4716417910447761,0.3970149253731343,0.4253731343283582,0.43283582089552236,0.4798206278026906,0.4413372598888963,0.030629826383327514,14.0,0.44270250093318403,0.4400895856662934,0.45278088839119074,0.4337439343038447,0.44104477611940296,0.44207233708278315,0.006154992366598583,Logistic Regression,,,,,,,,,,
13,5.2723063945770265,0.16193659196974336,0.009258270263671875,0.0023263883412768457,0.01467799267622069,{'C': 0.01467799267622069},35.0,35.0,28.0,35.0,34.0,33.4,2.727636339397171,7.0,133.0,141.0,144.0,130.0,128.0,135.2,6.241794613730893,309.0,247.0,277.0,269.0,340.0,288.4,32.57974831087558,13.0,1146.0,1068.0,1195.0,1125.0,1279.0,1162.6,71.04533763731439,314.0,376.0,346.0,354.0,282.0,334.4,32.897416311923344,13.0,1345.0,1423.0,1296.0,1366.0,1213.0,1328.6,70.7180316468155,12.0,12.0,19.0,12.0,13.0,13.6,2.727636339397171,18.0,55.0,47.0,44.0,58.0,60.0,52.8,6.241794613730893,0.6446330384891227,0.6009699122297736,0.5517912639595642,0.6201803217103241,0.6275227474858043,0.6090194567749178,0.031859457296218516,12.0,0.6120758133536048,0.611603901705715,0.6454299307293491,0.6092827797090803,0.6377599808749701,0.623230481274544,0.015218832166701933,0.5134328358208955,0.4208955223880597,0.4552238805970149,0.4537313432835821,0.5590433482810164,0.4804653860741137,0.049318881150422406,13.0,0.47741694662187384,0.45128779395296753,0.49981336319522207,0.46845837999253453,0.525,0.4843952967525197,0.02563297925185623,Logistic Regression,,,,,,,,,,
14,6.085915565490723,0.2756610849200136,0.010472393035888672,0.002427985678435553,0.021544346900318822,{'C': 0.021544346900318822},35.0,34.0,28.0,35.0,26.0,31.6,3.8262252939417984,9.0,131.0,136.0,140.0,137.0,115.0,131.8,8.885943956609225,333.0,286.0,297.0,287.0,380.0,316.6,36.01444154780135,12.0,1238.0,1156.0,1291.0,1216.0,1413.0,1262.8,86.67964005462875,290.0,337.0,326.0,336.0,242.0,306.2,36.36701802457826,14.0,1253.0,1335.0,1200.0,1275.0,1079.0,1228.4,86.33330759330376,12.0,13.0,19.0,12.0,21.0,15.4,3.8262252939417984,17.0,57.0,52.0,48.0,51.0,73.0,56.2,8.885943956609225,0.6580034834875857,0.619855879239097,0.5559236364878248,0.6524025818790342,0.621433946774304,0.6215239055735692,0.03630547607103539,11.0,0.6254131896102566,0.6265716152617509,0.6522993414590398,0.6242526286119391,0.6443085960178956,0.6345690741921765,0.011519021520765949,0.5492537313432836,0.47761194029850745,0.48507462686567165,0.48059701492537316,0.6068759342301944,0.519882649532606,0.05093577213871153,12.0,0.5110115714818962,0.48226950354609927,0.5341545352743561,0.5050391937290034,0.5701492537313433,0.5205248115525396,0.029806473514914212,Logistic Regression,,,,,,,,,,
15,6.336310768127442,0.12466812415120575,0.009373617172241212,0.0008146818932241694,0.03162277660168379,{'C': 0.03162277660168379},36.0,33.0,27.0,35.0,24.0,31.0,4.69041575982343,11.0,131.0,137.0,138.0,139.0,115.0,132.0,8.94427190999916,367.0,313.0,320.0,315.0,389.0,340.8,31.243559336285617,11.0,1316.0,1255.0,1369.0,1329.0,1462.0,1346.2,68.49058329434786,256.0,310.0,303.0,308.0,233.0,282.0,31.55312979721663,15.0,1175.0,1236.0,1122.0,1162.0,1030.0,1145.0,68.15276956954868,11.0,14.0,20.0,12.0,23.0,16.0,4.69041575982343,15.0,57.0,51.0,50.0,49.0,73.0,56.0,8.94427190999916,0.6773675762439808,0.6393907311908746,0.563471192923739,0.6782213722208942,0.6216049805021551,0.6360111706163287,0.04236286466437581,10.0,0.6513106758799764,0.6477243608906958,0.6749681833323368,0.6589744356278346,0.6535445339981558,0.6573044379457998,0.009556534216098948,0.6014925373134329,0.5164179104477612,0.517910447761194,0.5223880597014925,0.617339312406577,0.5551096535260915,0.04466640112481046,11.0,0.540126913027249,0.5195968645016797,0.5625233296005973,0.5479656588279209,0.5884328358208956,0.5517291203556686,0.022999714806946257,Logistic Regression,,,,,,,,,,
16,6.615428161621094,0.4639300742716928,0.012202072143554687,0.001299897523563234,0.046415888336127774,{'C': 0.046415888336127774},37.0,33.0,26.0,33.0,28.0,31.4,3.9293765408777004,10.0,131.0,135.0,134.0,140.0,116.0,131.2,8.133879763065101,378.0,328.0,349.0,334.0,397.0,357.2,26.362093998770277,10.0,1398.0,1363.0,1440.0,1435.0,1515.0,1430.2,50.720410092979336,245.0,295.0,274.0,289.0,225.0,265.6,26.665333299998334,16.0,1093.0,1128.0,1051.0,1056.0,977.0,1061.0,50.386506130113844,10.0,14.0,21.0,14.0,19.0,15.6,3.9293765408777004,16.0,57.0,53.0,54.0,48.0,72.0,56.8,8.133879763065101,0.6939653700351763,0.6588914313035757,0.5749462108534544,0.6781872203818176,0.66162687281932,0.6535234210786689,0.04126187989447903,9.0,0.6737595770305014,0.6734819819435073,0.6952838730066537,0.6896422867002059,0.673694119053311,0.6811723675468359,0.009390312149283885,0.6194029850746269,0.5388059701492537,0.5597014925373134,0.5477611940298508,0.6352765321375187,0.5801896347857126,0.039385856705471047,10.0,0.5707353490108249,0.559163867114595,0.5875326614408362,0.5879059350503919,0.6085820895522388,0.5827839804337773,0.01683690052751205,Logistic Regression,,,,,,,,,,
