,l2,mean_test_accuracy,mean_test_auc,mean_test_fn,mean_test_fp,mean_test_loss,mean_test_tn,mean_test_tp,mean_train_accuracy,mean_train_auc,mean_train_fn,mean_train_fp,mean_train_loss,mean_train_tn,mean_train_tp,n_hidden_layers,rate,units_0,model
0,0.0005,0.8626865744590759,0.8515589833259583,17.0,75.0,0.39768919348716736,548.0,30.0,0.8977230191230774,0.9731320738792419,6.0,268.0,0.2795444428920746,2223.0,182.0,1.0,0.05,29.0,Neural Net
1,0.0005,0.8567163944244385,0.845172643661499,14.0,82.0,0.39919739961624146,541.0,33.0,0.8786860704421997,0.9652237296104431,8.0,317.0,0.31201422214508057,2174.0,180.0,1.0,0.05,31.0,Neural Net
2,0.0005,0.8507462739944458,0.8469314575195312,14.0,86.0,0.40703803300857544,537.0,33.0,0.8932437300682068,0.9662732481956482,11.0,275.0,0.30036112666130066,2216.0,177.0,1.0,0.05,23.0,Neural Net
3,0.0005,0.8298507332801819,0.8488268852233887,13.0,101.0,0.438228040933609,522.0,34.0,0.8868981003761292,0.962486207485199,14.0,289.0,0.3120524287223816,2202.0,174.0,1.0,0.05,17.0,Neural Net
4,0.0005,0.8567163944244385,0.8484171032905579,14.0,82.0,0.4068275988101959,541.0,33.0,0.8704740405082703,0.9559050798416138,15.0,332.0,0.34570056200027466,2159.0,173.0,1.0,0.05,27.0,Neural Net
5,0.0005,0.8358209133148193,0.8485707640647888,13.0,97.0,0.4221232831478119,526.0,34.0,0.8921239376068115,0.9672490954399109,11.0,278.0,0.30680203437805176,2213.0,177.0,1.0,0.05,24.0,Neural Net
6,0.0005,0.8432835936546326,0.8492537140846252,13.0,92.0,0.42379847168922424,531.0,34.0,0.8932437300682068,0.9660212993621826,12.0,274.0,0.30662328004837036,2217.0,176.0,1.0,0.05,21.0,Neural Net
7,0.0005,0.7925373315811157,0.8459752202033997,12.0,127.0,0.48601001501083374,496.0,35.0,0.8525569438934326,0.9394831657409668,21.0,374.0,0.39126044511795044,2117.0,167.0,1.0,0.05,28.0,Neural Net
8,0.0005,0.8223880529403687,0.8423892855644226,14.0,105.0,0.4317834675312042,518.0,33.0,0.8801791667938232,0.9653199315071106,12.0,309.0,0.3069123923778534,2182.0,176.0,1.0,0.05,22.0,Neural Net
9,0.0005,0.8283582329750061,0.8416037559509277,15.0,100.0,0.4175177812576294,523.0,32.0,0.8674878478050232,0.9475399255752563,23.0,332.0,0.35447821021080017,2159.0,165.0,1.0,0.05,16.0,Neural Net
