,l2,mean_test_accuracy,mean_test_auc,mean_test_fn,mean_test_fp,mean_test_loss,mean_test_tn,mean_test_tp,mean_train_accuracy,mean_train_auc,mean_train_fn,mean_train_fp,mean_train_loss,mean_train_tn,mean_train_tp,n_hidden_layers,rate,units_0,model
0,0.00032963939016600254,0.8776119351387024,0.8757385015487671,16.0,66.0,0.33994030952453613,557.0,31.0,0.8913773894309998,0.9680082201957703,12.0,279.0,0.28754907846450806,2212.0,176.0,1.0,0.11288958612021881,32.0,Neural Net
1,0.0007014097122857982,0.8776119351387024,0.8785730600357056,16.0,66.0,0.36197781562805176,557.0,31.0,0.8887644410133362,0.9635101556777954,13.0,285.0,0.32356974482536316,2206.0,175.0,1.0,0.046987373248980176,32.0,Neural Net
2,0.0001132449102924958,0.8731343150138855,0.872442901134491,18.0,67.0,0.3164396584033966,556.0,29.0,0.8984695672988892,0.9742050170898438,7.0,265.0,0.240463986992836,2226.0,181.0,1.0,0.13225905181469846,32.0,Neural Net
3,0.000426601768023451,0.8119403123855591,0.8740138411521912,12.0,114.0,0.46033868193626404,509.0,35.0,0.8618887662887573,0.941432774066925,22.0,348.0,0.3734818696975708,2143.0,166.0,1.0,0.12235178757505985,32.0,Neural Net
4,0.0005440456269083262,0.8522388339042664,0.8683958649635315,14.0,85.0,0.4041418731212616,538.0,33.0,0.8801791667938232,0.9581738710403442,19.0,302.0,0.3315943777561188,2189.0,169.0,1.0,0.12358924420414401,32.0,Neural Net
5,0.00021407428935159116,0.874626874923706,0.8717427849769592,15.0,69.0,0.34840551018714905,554.0,32.0,0.8824188113212585,0.9583991169929504,12.0,303.0,0.30910322070121765,2188.0,176.0,1.0,0.09098455399616139,32.0,Neural Net
6,0.00013148393815161862,0.874626874923706,0.8669102787971497,16.0,68.0,0.33513957262039185,555.0,31.0,0.8995894193649292,0.9755001068115234,5.0,264.0,0.23913514614105225,2227.0,183.0,1.0,0.10073056724511391,32.0,Neural Net
7,0.0009283349358923875,0.874626874923706,0.8728526830673218,15.0,69.0,0.3633422255516052,554.0,32.0,0.8812990188598633,0.9621285796165466,10.0,308.0,0.3306143879890442,2183.0,178.0,1.0,0.02010703264718714,32.0,Neural Net
8,0.002845451772907472,0.8492537140846252,0.8644342422485352,15.0,86.0,0.4358142912387848,537.0,32.0,0.8514370918273926,0.9370628595352173,26.0,372.0,0.42149704694747925,2119.0,162.0,1.0,0.13620011657829842,32.0,Neural Net
9,0.004979107527821286,0.8716418147087097,0.8690447807312012,15.0,71.0,0.42509832978248596,552.0,32.0,0.8618887662887573,0.939059317111969,19.0,351.0,0.4316231608390808,2140.0,169.0,1.0,0.09335762454878957,32.0,Neural Net
10,0.004566863547622614,0.841791033744812,0.864143967628479,13.0,93.0,0.47558578848838806,530.0,34.0,0.8555431365966797,0.9318407773971558,24.0,363.0,0.4517550766468048,2128.0,164.0,1.0,0.03941809095711434,32.0,Neural Net
11,0.001828969422270074,0.8447760939598083,0.866449236869812,13.0,91.0,0.4435542821884155,532.0,34.0,0.871220588684082,0.9452860355377197,23.0,322.0,0.3930167853832245,2169.0,165.0,1.0,0.15267527853385404,32.0,Neural Net
12,0.003136456089383019,0.858208954334259,0.859123706817627,17.0,78.0,0.4322909116744995,545.0,30.0,0.838372528553009,0.9168218374252319,24.0,409.0,0.4702894687652588,2082.0,164.0,1.0,0.16705511395446515,32.0,Neural Net
13,0.013025645977966224,0.8149253726005554,0.8605409860610962,11.0,113.0,0.5209662914276123,510.0,36.0,0.835386335849762,0.9218206405639648,26.0,415.0,0.4726956784725189,2076.0,162.0,1.0,0.11974555009981928,32.0,Neural Net
14,0.003398061692864817,0.8731343150138855,0.859516441822052,18.0,67.0,0.4041876494884491,556.0,29.0,0.8585293292999268,0.9401056170463562,16.0,363.0,0.42633023858070374,2128.0,172.0,1.0,0.12687260421533253,32.0,Neural Net
15,0.007460647543048265,0.8567163944244385,0.8691301345825195,13.0,83.0,0.46525731682777405,540.0,34.0,0.8626353144645691,0.9445867538452148,16.0,352.0,0.42509695887565613,2139.0,172.0,1.0,0.032078671078458326,32.0,Neural Net
16,0.01329876359605473,0.8298507332801819,0.8471876382827759,18.0,96.0,0.5280122756958008,527.0,29.0,0.8051511645317078,0.8797063231468201,39.0,483.0,0.5580358505249023,2008.0,149.0,1.0,0.03432324003445655,32.0,Neural Net
17,0.009830114349366056,0.8388059735298157,0.8635634183883667,15.0,93.0,0.464582622051239,530.0,32.0,0.8521836400032043,0.9406982064247131,20.0,376.0,0.43838971853256226,2115.0,168.0,1.0,0.05630526445355611,32.0,Neural Net
18,0.015858034769032404,0.841791033744812,0.8445578813552856,17.0,89.0,0.5045331120491028,534.0,30.0,0.7943262457847595,0.8882604837417603,26.0,525.0,0.5422931909561157,1966.0,162.0,1.0,0.0663245029291617,32.0,Neural Net
