,l2,mean_test_accuracy,mean_test_auc,mean_test_fn,mean_test_fp,mean_test_loss,mean_test_tn,mean_test_tp,mean_train_accuracy,mean_train_auc,mean_train_fn,mean_train_fp,mean_train_loss,mean_train_tn,mean_train_tp,n_hidden_layers,rate,units_0,units_1,model
0,0.0003325092136645735,0.8447760939598083,0.864673376083374,13.0,91.0,0.4189457595348358,532.0,34.0,0.8801791667938232,0.958734393119812,17.0,304.0,0.31064656376838684,2187.0,171.0,2.0,0.0915954899755499,32.0,32.0,Neural Net
1,0.0009273084640762212,0.8388059735298157,0.8688228726387024,14.0,94.0,0.5024043917655945,529.0,33.0,0.9313176274299622,0.9842454791069031,5.0,179.0,0.23993614315986633,2312.0,183.0,2.0,0.044623020894053685,32.0,32.0,Neural Net
2,0.00012102598052623895,0.8522388339042664,0.862897515296936,14.0,85.0,0.3915167450904846,538.0,33.0,0.9074281454086304,0.9781820774078369,11.0,237.0,0.21328720450401306,2254.0,177.0,2.0,0.07899585331563676,32.0,32.0,Neural Net
3,0.004871483547842288,0.841791033744812,0.8597384095191956,17.0,89.0,0.490510493516922,534.0,30.0,0.9085479378700256,0.9745445251464844,8.0,237.0,0.3389326333999634,2254.0,180.0,2.0,0.0025185851112277187,32.0,32.0,Neural Net
4,0.00016256823292372835,0.8611940145492554,0.854069173336029,20.0,73.0,0.40525582432746887,550.0,27.0,0.9294512867927551,0.9850408434867859,6.0,183.0,0.18370532989501953,2308.0,182.0,2.0,0.0814305158938452,32.0,32.0,Neural Net
5,0.0005141794493144275,0.8089552521705627,0.8589358925819397,9.0,119.0,0.48509934544563293,504.0,38.0,0.859649121761322,0.9517304301261902,18.0,358.0,0.3492774963378906,2133.0,170.0,2.0,0.021368493046648347,32.0,32.0,Neural Net
6,0.0001821087016667967,0.841791033744812,0.8697961568832397,11.0,95.0,0.4354953169822693,528.0,36.0,0.9055618047714233,0.9741633534431458,10.0,243.0,0.2314743846654892,2248.0,178.0,2.0,0.07421114049443851,32.0,32.0,Neural Net
7,0.0001573573850790621,0.8552238941192627,0.8598920702934265,16.0,81.0,0.472024530172348,542.0,31.0,0.9357969164848328,0.9878552556037903,3.0,169.0,0.16544519364833832,2322.0,185.0,2.0,0.039092958840750126,32.0,32.0,Neural Net
8,0.004714339629755338,0.8522388339042664,0.8844473361968994,12.0,87.0,0.5038608312606812,536.0,35.0,0.9219858050346375,0.9788109660148621,9.0,200.0,0.30650267004966736,2291.0,179.0,2.0,0.06839090751105939,32.0,32.0,Neural Net
9,0.002493589021513281,0.8388059735298157,0.8652368783950806,11.0,97.0,0.49415650963783264,526.0,36.0,0.8898842930793762,0.9561901092529297,16.0,279.0,0.39089715480804443,2212.0,172.0,2.0,0.044315020378026475,32.0,32.0,Neural Net
10,0.0009575677020389684,0.8328357934951782,0.8557597398757935,13.0,99.0,0.4786279797554016,524.0,34.0,0.8518103957176208,0.9311937689781189,28.0,369.0,0.42673420906066895,2122.0,160.0,2.0,0.07385137227170871,32.0,32.0,Neural Net
11,0.0040982479129252625,0.8432835936546326,0.8573136329650879,14.0,91.0,0.5266508460044861,532.0,33.0,0.8368794322013855,0.9204102754592896,29.0,408.0,0.5216500163078308,2083.0,159.0,2.0,0.0814740836246791,32.0,32.0,Neural Net
12,0.0010001521740768359,0.8671641945838928,0.8605409860610962,20.0,69.0,0.39545273780822754,554.0,27.0,0.8846584558486938,0.9634791612625122,11.0,298.0,0.330707311630249,2193.0,177.0,2.0,0.04917785727465293,32.0,32.0,Neural Net
13,0.0002481705145919868,0.8671641945838928,0.8558279871940613,19.0,70.0,0.40895435214042664,553.0,28.0,0.9335572719573975,0.9867597222328186,6.0,172.0,0.18561185896396637,2319.0,182.0,2.0,0.05691205254557505,32.0,32.0,Neural Net
14,0.0002762262702952641,0.8313432931900024,0.8575184941291809,10.0,103.0,0.43506956100463867,520.0,37.0,0.8816722631454468,0.9619758725166321,14.0,303.0,0.293652206659317,2188.0,174.0,2.0,0.03472901556326065,32.0,32.0,Neural Net
15,0.00018894079311450153,0.8388059735298157,0.8561866283416748,14.0,94.0,0.44541895389556885,529.0,33.0,0.9122806787490845,0.9779269695281982,8.0,227.0,0.21784748136997223,2264.0,180.0,2.0,0.044697699364595556,32.0,32.0,Neural Net
16,0.003815027095807347,0.8492537140846252,0.8544449210166931,12.0,89.0,0.5284193754196167,534.0,35.0,0.9104143381118774,0.9707158803939819,10.0,230.0,0.354408323764801,2261.0,178.0,2.0,0.018356030098215945,32.0,32.0,Neural Net
17,0.000574824144679343,0.8522388339042664,0.8555206656455994,14.0,85.0,0.44954314827919006,538.0,33.0,0.9208660125732422,0.9783785343170166,8.0,204.0,0.25602269172668457,2287.0,180.0,2.0,0.07921369981469363,32.0,32.0,Neural Net
18,0.0002797939027888617,0.8223880529403687,0.8560500741004944,11.0,108.0,0.4902695417404175,515.0,36.0,0.8984695672988892,0.9736775755882263,8.0,264.0,0.25430867075920105,2227.0,180.0,2.0,0.0037823657877817836,32.0,32.0,Neural Net
19,0.00010746842044855796,0.800000011920929,0.8638707995414734,7.0,127.0,0.471864253282547,496.0,40.0,0.8510638475418091,0.9380643367767334,20.0,379.0,0.34473612904548645,2112.0,168.0,2.0,0.09189056008912365,32.0,32.0,Neural Net
20,0.00046199444425193257,0.825373113155365,0.8553840517997742,12.0,105.0,0.45704779028892517,518.0,35.0,0.9055618047714233,0.975746750831604,9.0,244.0,0.26194602251052856,2247.0,179.0,2.0,0.014494933128199446,32.0,32.0,Neural Net
