,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_tp,split1_test_tp,split2_test_tp,split3_test_tp,split4_test_tp,mean_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,split3_train_tp,split4_train_tp,mean_train_tp,std_train_tp,split0_test_tn,split1_test_tn,split2_test_tn,split3_test_tn,split4_test_tn,mean_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,split3_train_tn,split4_train_tn,mean_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,split3_test_fp,split4_test_fp,mean_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,split3_train_fp,split4_train_fp,mean_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,split3_test_fn,split4_test_fn,mean_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,split3_train_fn,split4_train_fn,mean_train_fn,std_train_fn,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,std_test_auc,rank_test_auc,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,mean_train_auc,std_train_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,model,l2,mean_test_loss,mean_train_loss,n_hidden_layers,rate,units_0
1,0.08253684043884277,0.011594989634049807,0.01037893295288086,0.0009016202446363732,1.6155980984398728e-08,{'C': 1.6155980984398728e-08},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
2,0.07659759521484374,0.00889105896869488,0.011290311813354492,0.0008561454419363764,2.6101572156825384e-08,{'C': 2.6101572156825384e-08},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
3,0.07292761802673339,0.0013341431323068119,0.010231971740722656,0.0004976179234267732,4.2169650342858225e-08,{'C': 4.2169650342858225e-08},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
4,0.08233790397644043,0.014205039187172652,0.010713529586791993,0.00042485894845430535,6.812920690579608e-08,{'C': 6.812920690579608e-08},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
5,0.07779922485351562,0.004951025981040606,0.010176563262939453,0.0009323928086058391,1.1006941712522103e-07,{'C': 1.1006941712522103e-07},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
6,0.0715792179107666,0.0007963283903627522,0.011911487579345703,0.0008913935295550243,1.7782794100389227e-07,{'C': 1.7782794100389227e-07},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
7,0.07072319984436035,0.0035156048089979523,0.010932016372680663,0.0007620538160769805,2.8729848333536685e-07,{'C': 2.8729848333536685e-07},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
8,0.07892398834228516,0.014426099215110294,0.010934019088745117,0.0005407154578157696,4.641588833612782e-07,{'C': 4.641588833612782e-07},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
9,0.0801814079284668,0.009188534563656791,0.010536813735961914,0.0016158611434521103,7.498942093324558e-07,{'C': 7.498942093324558e-07},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
10,0.06951870918273925,0.0016481985294319295,0.011027383804321288,0.0008565661527406156,1.21152765862859e-06,{'C': 1.21152765862859e-06},0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,623.0,623.0,623.0,622.0,622.8,0.4,1.0,2491.0,2491.0,2491.0,2491.0,2492.0,2491.2,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,0.0,1.0,188.0,188.0,188.0,188.0,188.0,188.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.9298507462686567,0.929745889387145,0.9298297748923543,4.19427526046956e-05,1.0,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298507462686567,0.9298297983765383,1.0473946059175176e-05,SVM,,,,,,
