feature,coef
COG_D_(-2),1.29
COG_J_(-2),1.2
residue_exposure_e_(+2),1.1
COG_J_(-1),1.09
CRP/Cra Regulon,1.07
COG_J_(-3),1.0
COG_U_(-2),0.97
COG_H_(-2),0.92
COG_H_(+3),0.88
COG_I_(-2),0.87
COG_D_(-3),0.86
COG_J_(+2),0.84
COG_D_(-1),0.8
COG_I_(+1),0.8
