,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_n_estimators,param_max_depth
0,6.353108501434326,0.343360812562161,0.003171539306640625,0.00037494105082586305,0.03610000000000001,{'C': 0.03610000000000001},0.7851400524667852,0.8191799949225691,0.8563404417364813,0.7976220698992976,0.7677719592087688,0.8052109036467805,0.030566220576664214,1,0.8585140047943864,0.8482869064565463,0.8463666382672473,0.8516875605251599,0.8594695407040704,0.8528649301494822,0.005293490766470791,LR,,
1,5.789703369140625,0.05042209496987629,0.002558469772338867,0.00032550739484729304,0.035100000000000006,{'C': 0.035100000000000006},0.78502369467716,0.8192011508843192,0.8566895151053567,0.7973364644156724,0.7677825598405665,0.8052066769846149,0.030712165294589193,2,0.8565652930872991,0.8464268326886135,0.8446210000476263,0.8498572532293316,0.8575846767369044,0.851011011157955,0.005239107146857422,LR,,
2,6.231320095062256,0.05708572488443136,0.003780031204223633,0.0004185763543077888,0.0311,{'C': 0.0311},0.7845476855377844,0.8197617838706948,0.856996276550732,0.7958132351696708,0.7685564059617953,0.8051350774181355,0.03082940534610243,3,0.8490112239444148,0.8388496118452038,0.8369875536457976,0.8426206931222251,0.8489768447998646,0.8432891854715011,0.004999168982783013,LR,,
3,5.798800706863403,0.14387415565122239,0.002413177490234375,0.0001924738644110589,0.0291,{'C': 0.0291},0.7848861809257849,0.8199944994499448,0.8568058728949817,0.7950410425657951,0.7686200097525813,0.8050695211178176,0.03077632062337903,4,0.8453777299162304,0.8349078694614518,0.8328394303887898,0.8390037360229876,0.8442921215198442,0.8392841774618608,0.0049593622403083905,LR,,
4,5.578342247009277,0.07175844809692414,0.0027613162994384764,0.000254287666792339,0.0281,{'C': 0.0281},0.7848015570787847,0.8202060590674453,0.8566472031818566,0.7947765930439198,0.7686518116479744,0.8050166448039962,0.03076472781068822,5,0.8435666054579805,0.8329644495716273,0.8306506024733954,0.8371211720316873,0.8418439800710841,0.8372293619211548,0.004958560569107008,LR,,
5,6.055043697357178,0.19729146130384154,0.005198287963867188,0.0032344019709634373,0.0271,{'C': 0.0271},0.7846534653465347,0.8201531691630701,0.8564250655834815,0.7944909875602945,0.7684716009074141,0.804838857712159,0.030766120414817095,6,0.8416165707965771,0.8308516915293882,0.8284531753549487,0.8353431214313307,0.8391849401286283,0.8350898998481746,0.004928274170332888,LR,,
6,5.729960489273071,0.10785073273541307,0.0029904842376708984,0.0003637298089859951,0.0261,{'C': 0.0261},0.7844207497672845,0.8203541507996953,0.8563827536599813,0.794046712363544,0.7683231920622469,0.8047055117305504,0.030868015791263234,7,0.8396784427240158,0.8288282329034614,0.826204153018188,0.8333818416582439,0.8369391025641025,0.8330063545736023,0.004976965024699029,LR,,
7,6.12047176361084,0.09272062822156883,0.0025494575500488283,0.0002915029376479531,0.040100000000000004,{'C': 0.040100000000000004},0.7851823643902851,0.8179423711601929,0.8550499280697301,0.7983519505796733,0.7668497042423728,0.8046752636884509,0.030213749556525206,8,0.8660323541707458,0.8555730773504929,0.8538413301511872,0.8589598403987913,0.8672998910467971,0.8603412986236029,0.0054351462322818215,LR,,
8,6.151822948455811,0.16427096369032418,0.002777242660522461,0.0002896055710408566,0.041100000000000005,{'C': 0.041100000000000005},0.7853939240077854,0.8177096555809428,0.8546162308538545,0.7984894643310485,0.7664362796022642,0.8045291108751791,0.030120235217254616,9,0.8677693931873145,0.8572029570674866,0.8556425324520692,0.8607517820194633,0.8691642601760176,0.8621061849804702,0.0054688793736088065,LR,,
9,5.908130359649658,0.07674961475629676,0.003051090240478516,0.00042496942086730035,0.0251,{'C': 0.0251},0.7841034103410343,0.820142591182195,0.8564567995261065,0.7935707032241686,0.7679415693175313,0.8044430147182071,0.031036020012150074,10,0.83769202681893,0.8268371866582702,0.8237229521990148,0.831394764276,0.8344836887534907,0.8308261237411412,0.005043975098253638,LR,,
10,6.914449167251587,0.3511063904751732,0.003036642074584961,0.000569166834156595,0.0461,{'C': 0.0461},0.7856689515105358,0.8168951510535669,0.8527756621816028,0.7995895743420498,0.765736637903619,0.8041331953982749,0.029545982836939773,11,0.8759082081377567,0.8650738737689909,0.8649085044795233,0.8687311809748587,0.8770382446898536,0.8703320024101966,0.005209465072516675,LR,,
11,6.472913837432861,0.1337477994160428,0.0028914451599121095,0.00020351600958902567,0.0471,{'C': 0.0471},0.7856689515105357,0.8165460776846916,0.8523313869848524,0.7998751798256749,0.7656624334810355,0.8040168058973581,0.029380728744360957,12,0.8773482439104412,0.8664583454604144,0.8666217303184087,0.8701560027729123,0.8784113988321909,0.8717991442588735,0.005148671252756635,LR,,
12,7.490314483642578,0.40839476678418,0.007564973831176758,0.0054799377476580325,0.049100000000000005,{'C': 0.049100000000000005},0.7861026487264111,0.8161758483540662,0.8514216806296013,0.8003406109841753,0.7654716221086777,0.8039024821605864,0.029035019344743025,13,0.8802369146588631,0.8691141762492658,0.8697597779553478,0.8728316778764997,0.8809930872894981,0.874587126805895,0.00508516505464539,LR,,
