,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_loss,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate
0,7.432551145553589,0.6636781612687999,0.0029748916625976563,0.0005443203745817642,l1,0.21000000000000002,"{'penalty': 'l1', 'C': 0.21000000000000002}",0.7694740627908945,0.7908098502157909,0.812981298129813,0.7940149784209191,0.7491360485084911,0.7832832476131817,0.021956861294398135,1,0.9252140540082869,0.9140827163956373,0.9232177159458329,0.9199923533240548,0.9247872503596513,0.9214588180066927,0.004119013837273197,LR,,,,,,
1,7.64211106300354,0.20825197338355783,0.0027411937713623046,0.0004912181119790074,l1,0.41000000000000003,"{'penalty': 'l1', 'C': 0.41000000000000003}",0.7619108064652618,0.7829186764830329,0.8051324363205552,0.7869277312346619,0.7452244153751564,0.7764228131757336,0.02078812338205367,2,0.9317911213889963,0.9214171751221085,0.9310125627741823,0.9272381741113714,0.9314698897774393,0.9285857846348197,0.0039417385704201705,LR,,,,,,
2,7.217887544631958,0.05218804791887508,0.002637338638305664,0.0003296492360829322,l1,0.51,"{'penalty': 'l1', 'C': 0.51}",0.7596576965388846,0.7814800710840315,0.803915968519929,0.7855102817974106,0.7447897894714526,0.7750707614823417,0.02067176160802847,3,0.9330737255981075,0.9228347206714258,0.9326457498769651,0.9285631128585867,0.9327346196158077,0.9299703857241786,0.003932617789566444,LR,,,,,,
3,7.032969808578491,0.36566315023291524,0.0034279823303222656,0.0005741444923828489,l1,0.6100000000000001,"{'penalty': 'l1', 'C': 0.6100000000000001}",0.7582719810442583,0.7804116950156554,0.8035668951510535,0.7843255479394093,0.7440689465092118,0.7741290131319177,0.02080905275833462,4,0.9339052023855511,0.9238031232305486,0.9337424790047149,0.9294666906562383,0.9335696189811289,0.9308974228516365,0.003915553501664754,LR,,,,,,
4,6.187248086929321,0.25040419285719306,0.00222625732421875,9.872747254972188e-05,l1,1.11,"{'penalty': 'l1', 'C': 1.11}",0.7539032749428789,0.7785076584581535,0.7990712532791742,0.7816175848354066,0.7429770814340535,0.7712153705899334,0.020171481621845757,5,0.9357328637727482,0.9259575543337337,0.9360080382704224,0.9314173867947991,0.9354141543962088,0.9329059995135823,0.0038574993233392828,LR,,,,,,
5,6.790271759033203,0.11009467780991498,0.002548837661743164,0.00017312108731488908,l1,1.2100000000000002,"{'penalty': 'l1', 'C': 1.2100000000000002}",0.7537022933062537,0.7785711263434038,0.7981298129812983,0.7811309977151562,0.7427544681663028,0.770857739702483,0.01996449526876416,6,0.935918077376952,0.9261493827095164,0.9362375708442036,0.9316323668711073,0.9356224083946856,0.9331119612392929,0.0038629721039124994,LR,,,,,,
6,6.295328426361084,0.05358905266471576,0.0024278640747070314,0.00025985207576469544,l1,1.81,"{'penalty': 'l1', 'C': 1.81}",0.750983752221376,0.778073961242278,0.7955064737242955,0.7799462638571549,0.741514194245977,0.7692049290582164,0.019922827794907724,7,0.9365517724941923,0.9268750231517007,0.9369274915198628,0.9323183186838193,0.936204858466616,0.9337754928632382,0.0038284325822587253,LR,,,,,,
7,6.144602680206299,0.044767478952197994,0.002472686767578125,0.0002773449619366004,l1,2.76,"{'penalty': 'l1', 'C': 2.76}",0.7501269357705,0.7775133282559025,0.7937293729372936,0.778877887788779,0.7404965335934022,0.7681488116691754,0.01973123844953696,8,0.9369764408295453,0.9273003529642115,0.9374044165506876,0.932744309973488,0.936624010958788,0.9342099062553441,0.003836050318775493,LR,,,,,,
8,6.13132758140564,0.04708217611995002,0.0026581287384033203,0.0002795429524438926,l1,2.71,"{'penalty': 'l1', 'C': 2.71}",0.74997884403825,0.7772277227722773,0.7936764830329186,0.7789307776931538,0.7408569550745225,0.7681341565222245,0.019623106327189065,9,0.9369341062914415,0.9272712479692652,0.9374024321192141,0.9327648157653821,0.9365830212828976,0.9341911246856401,0.003833449197798242,LR,,,,,,
9,6.174334573745727,0.10807284534058376,0.002405405044555664,0.00012215428891108423,l1,3.11,"{'penalty': 'l1', 'C': 3.11}",0.7495663027841246,0.7771430989252771,0.7933274096640435,0.7785499703816535,0.7408039519155342,0.7678781467341265,0.019574104304762363,10,0.9370320049108064,0.9274061893094708,0.9374990077842633,0.9328289790496955,0.9367000401963272,0.9342932442501126,0.0038248135863788277,LR,,,,,,
10,6.149507093429565,0.04094640247492059,0.0023504257202148437,9.314505851508232e-05,l1,3.36,"{'penalty': 'l1', 'C': 3.36}",0.7492066514343743,0.7770161631547772,0.7933379876449184,0.7784759245155285,0.7406767443339622,0.767742694216712,0.019659445717277242,11,0.9370756624032259,0.9274313254414699,0.9375016536928946,0.9329037259685349,0.9367291296437337,0.9343282994299719,0.003820466621899278,LR,,,,,,
11,6.437910652160644,0.3122210869770204,0.0029339313507080076,0.0003920376775216609,l1,4.46,"{'penalty': 'l1', 'C': 4.46}",0.7488893120081239,0.7770690530591521,0.7922167216721672,0.7781585850892783,0.7404117285390209,0.7673490800735485,0.019473606840682,12,0.9372469849871143,0.9276119087055686,0.937705388657519,0.9330492509432663,0.936925483413726,0.9345078033414389,0.0038276254466911757,LR,,,,,,
