,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
146,1.7058512210845946,0.032742266085184206,0.050454902648925784,0.0057217455614266,172,0.010400000000000013,6,9,"{'n_estimators': 172, 'min_samples_split': 0.010400000000000013, 'min_samples_leaf': 6, 'max_depth': 9}",0.720226843100189,0.7277882797731569,0.7083333333333334,0.7575757575757576,0.7102272727272727,0.7248302973019418,0.017819117634392853,11,0.7808802650260294,0.7799337434926644,0.7753074739829706,0.7734153263954588,0.7795648060548723,0.7778203229903993,0.0029186098669954476
107,1.6862014293670655,0.015904011553841305,0.053882598876953125,0.00363874399807298,212,0.018200000000000036,10,7,"{'n_estimators': 212, 'min_samples_split': 0.018200000000000036, 'min_samples_leaf': 10, 'max_depth': 7}",0.724007561436673,0.725897920604915,0.7026515151515151,0.7575757575757576,0.7140151515151515,0.7248295812568024,0.01834637640444078,12,0.7562707051585423,0.7586370089919545,0.7563859981078525,0.7473982970671712,0.7587511825922422,0.7554886383835525,0.004181553245682497
68,1.4592741012573243,0.028083339259053618,0.045019102096557614,0.0036686935176629973,180,0.012100000000000019,5,8,"{'n_estimators': 180, 'min_samples_split': 0.012100000000000019, 'min_samples_leaf': 5, 'max_depth': 8}",0.718336483931947,0.7315689981096408,0.7083333333333334,0.7462121212121212,0.7196969696969697,0.7248295812568024,0.012986631313037697,12,0.7742546142924751,0.7733080927591103,0.7682119205298014,0.7705771050141911,0.7715231788079471,0.771574982280705,0.002120977445804995
198,1.4736825466156005,0.09855287192387366,0.04476842880249023,0.004405655277999976,172,0.015000000000000027,12,9,"{'n_estimators': 172, 'min_samples_split': 0.015000000000000027, 'min_samples_leaf': 12, 'max_depth': 9}",0.718336483931947,0.725897920604915,0.7083333333333334,0.7481060606060606,0.7215909090909091,0.7244529415134331,0.013168159007230071,14,0.7619498343587316,0.7662091812588736,0.7691579943235572,0.7592242194891201,0.7644276253547777,0.7641937709570121,0.003420285761344701
218,3.3041411876678466,0.308496641126147,0.09541101455688476,0.027771571021429874,242,0.009600000000000011,6,8,"{'n_estimators': 242, 'min_samples_split': 0.009600000000000011, 'min_samples_leaf': 6, 'max_depth': 8}",0.724007561436673,0.722117202268431,0.7083333333333334,0.7518939393939394,0.7159090909090909,0.7244522254682935,0.014774989369722229,15,0.7699952673923331,0.77520113582584,0.7691579943235572,0.7691579943235572,0.772469252601703,0.7711963288933982,0.0023414088792800226
49,2.0388079643249513,0.03643615871174374,0.06577019691467285,0.003569140664850168,209,0.014500000000000027,10,9,"{'n_estimators': 209, 'min_samples_split': 0.014500000000000027, 'min_samples_leaf': 10, 'max_depth': 9}",0.720226843100189,0.7296786389413988,0.7083333333333334,0.7462121212121212,0.7178030303030303,0.7244507933780145,0.012827258370210084,16,0.767628963558921,0.7695220066256507,0.7686849574266793,0.7644276253547777,0.771050141911069,0.7682627389754195,0.0022200633469773236
74,1.3966403484344483,0.010121957715172141,0.04803962707519531,0.008209669967828138,173,0.014600000000000026,8,7,"{'n_estimators': 173, 'min_samples_split': 0.014600000000000026, 'min_samples_leaf': 8, 'max_depth': 7}",0.724007561436673,0.7296786389413988,0.6988636363636364,0.75,0.7196969696969697,0.7244493612877355,0.01647780456381141,17,0.7572172266919073,0.7619498343587316,0.7601702932828761,0.7592242194891201,0.7582781456953642,0.7593679439035999,0.00162134661410739
101,1.3958767414093018,0.040309704317383614,0.046372842788696286,0.0041002867078569075,175,0.017900000000000034,14,8,"{'n_estimators': 175, 'min_samples_split': 0.017900000000000034, 'min_samples_leaf': 14, 'max_depth': 8}",0.7296786389413988,0.725897920604915,0.7026515151515151,0.7462121212121212,0.7178030303030303,0.7244486452425961,0.014299518856058938,18,0.759110269758637,0.7600567912920019,0.7630085146641438,0.7535477767265847,0.7592242194891201,0.7589895143860975,0.0030650814125942833
20,1.5552460193634032,0.04046619429926614,0.04667854309082031,0.004163810715325667,175,0.010900000000000016,14,9,"{'n_estimators': 175, 'min_samples_split': 0.010900000000000016, 'min_samples_leaf': 14, 'max_depth': 9}",0.7164461247637051,0.724007561436673,0.7083333333333334,0.75,0.7215909090909091,0.7240755857249241,0.014030543009481,19,0.7614765735920492,0.767628963558921,0.7620624408703879,0.7592242194891201,0.7686849574266793,0.7638154309874315,0.0036845018579167
147,2.0647342681884764,0.08483257996962164,0.06879134178161621,0.011501554368168894,216,0.018100000000000036,5,8,"{'n_estimators': 216, 'min_samples_split': 0.018100000000000036, 'min_samples_leaf': 5, 'max_depth': 8}",0.722117202268431,0.724007561436673,0.7083333333333334,0.7462121212121212,0.7196969696969697,0.7240734375895056,0.012335776117057,20,0.7643161381921438,0.7671557027922385,0.7663197729422895,0.7615894039735099,0.7672658467360454,0.7653293729272455,0.002148502556715021
199,1.319397783279419,0.028868743791508555,0.04305558204650879,0.00953854971154302,152,0.010300000000000014,11,9,"{'n_estimators': 152, 'min_samples_split': 0.010300000000000014, 'min_samples_leaf': 11, 'max_depth': 9}",0.722117202268431,0.725897920604915,0.7064393939393939,0.7481060606060606,0.7178030303030303,0.7240727215443662,0.013674794802040048,21,0.7652626597255088,0.7733080927591103,0.771050141911069,0.7691579943235572,0.7705771050141911,0.7698711987466872,0.002662620647214687
249,2.009089946746826,0.14425544819118855,0.04899439811706543,0.013722442290341709,201,0.00890000000000001,10,7,"{'n_estimators': 201, 'min_samples_split': 0.00890000000000001, 'min_samples_leaf': 10, 'max_depth': 7}",0.718336483931947,0.7296786389413988,0.7045454545454546,0.75,0.7178030303030303,0.7240727215443662,0.01521300551917947,21,0.7572172266919073,0.7605300520586843,0.761116367076632,0.7563859981078525,0.7601702932828761,0.7590839874435905,0.001906078297451361
171,1.968614387512207,0.05291739541935885,0.06503582000732422,0.008952779264299212,245,0.01620000000000003,10,7,"{'n_estimators': 245, 'min_samples_split': 0.01620000000000003, 'min_samples_leaf': 10, 'max_depth': 7}",0.722117202268431,0.7277882797731569,0.7083333333333334,0.7443181818181818,0.7178030303030303,0.7240720054992267,0.011954459061324462,23,0.7595835305253195,0.7581637482252721,0.761116367076632,0.7483443708609272,0.7535477767265847,0.756151158682947,0.004652064514420606
182,1.8712401390075684,0.013204982028897727,0.06039166450500488,0.006030430145380627,203,0.013800000000000024,11,9,"{'n_estimators': 203, 'min_samples_split': 0.013800000000000024, 'min_samples_leaf': 11, 'max_depth': 9}",0.725897920604915,0.725897920604915,0.7007575757575758,0.7537878787878788,0.7140151515151515,0.7240712894540872,0.017518013591302926,24,0.7657359204921912,0.7685754850922859,0.7677388836329234,0.7667928098391674,0.772469252601703,0.7682624703316542,0.0023070541559974166
19,1.3409313678741455,0.022324503181178915,0.0479273796081543,0.008963415180744118,150,0.0051,6,8,"{'n_estimators': 150, 'min_samples_split': 0.0051, 'min_samples_leaf': 6, 'max_depth': 8}",0.722117202268431,0.7315689981096408,0.7064393939393939,0.7424242424242424,0.7178030303030303,0.7240705734089478,0.012223254756403516,25,0.7723615712257453,0.7780407004259347,0.781929990539262,0.7762535477767266,0.772469252601703,0.7762110125138744,0.00360208945558208
1,1.4399022102355956,0.08630875388973333,0.045088005065917966,0.00482756988181152,178,0.006200000000000003,12,7,"{'n_estimators': 178, 'min_samples_split': 0.006200000000000003, 'min_samples_leaf': 12, 'max_depth': 7}",0.720226843100189,0.7334593572778828,0.7045454545454546,0.7462121212121212,0.7159090909090909,0.7240705734089476,0.014429218465137096,26,0.7652626597255088,0.7600567912920019,0.760643330179754,0.7526017029328288,0.7568590350047304,0.7590847038269647,0.004207714617967338
91,1.7851166248321533,0.015691212385371578,0.056678485870361325,0.0061952878877602445,228,0.012600000000000021,7,7,"{'n_estimators': 228, 'min_samples_split': 0.012600000000000021, 'min_samples_leaf': 7, 'max_depth': 7}",0.724007561436673,0.7353497164461248,0.7007575757575758,0.7462121212121212,0.7140151515151515,0.7240684252735292,0.01588759593623055,27,0.7619498343587316,0.7619498343587316,0.759697256385998,0.7554399243140965,0.7592242194891201,0.7596522137813355,0.0023869106033349947
